cons_model,mut_model,chrom,Ne,ll
merged_cds_regulatory,carlson,3,20578.125,-26008621155.95398
merged_cds_regulatory,carlson,4,21046.875,-26694339688.172337
merged_cds_regulatory,carlson,5,20437.5,-23709397822.244003
merged_cds_regulatory,carlson,6,21234.375,-22577320108.19491
merged_cds_regulatory,carlson,7,20859.375,-19669007562.32141
merged_cds_regulatory,carlson,8,21093.75,-19773938271.169693
merged_cds_regulatory,carlson,9,21187.5,-14256392481.292969
merged_cds_regulatory,carlson,10,21421.875,-17094396077.714418
merged_cds_regulatory,carlson,11,21421.875,-17144401445.684208
merged_cds_regulatory,carlson,12,20062.5,-15959430627.422188
merged_cds_regulatory,carlson,13,19968.75,-12715207652.183853
merged_cds_regulatory,carlson,14,19921.875,-10565434620.202028
merged_cds_regulatory,carlson,15,21187.5,-9477481360.0649
merged_cds_regulatory,carlson,16,23578.125,-9584270668.932327
merged_cds_regulatory,carlson,17,20109.375,-7744214098.248207
merged_cds_regulatory,carlson,18,20109.375,-9519945559.288511
merged_cds_regulatory,carlson,19,23367.1875,-4772725752.630576
merged_cds_regulatory,carlson,20,20578.125,-6964684416.078857
merged_cds_regulatory,carlson,21,23109.375,-3881955282.9789658
merged_cds_regulatory,carlson,22,21843.75,-3146685839.811723
split_cds_regulatory,roulette,1,25910.15625,-29707507814.187256
split_cds_regulatory,roulette,2,25359.375,-33064333882.14679
split_cds_regulatory,roulette,3,26519.53125,-28216038227.21306
split_cds_regulatory,roulette,4,27515.625,-28591512502.2181
split_cds_regulatory,roulette,5,26414.0625,-25598421287.200157
split_cds_regulatory,roulette,6,27679.6875,-24878890881.326817
split_cds_regulatory,roulette,7,26953.125,-21910181862.386684
split_cds_regulatory,roulette,8,26578.125,-22091864303.516716
split_cds_regulatory,roulette,9,26578.125,-16492489826.231186
split_cds_regulatory,roulette,10,27328.125,-19303307285.720787
split_cds_regulatory,roulette,11,27105.46875,-19014190199.753124
split_cds_regulatory,roulette,12,26062.5,-17867252229.003235
split_cds_regulatory,roulette,13,26730.46875,-14556779510.124622
split_cds_regulatory,roulette,14,26261.71875,-12384071208.320946
split_cds_regulatory,roulette,15,26953.125,-11048370013.223812
split_cds_regulatory,roulette,16,26847.65625,-11516261439.006706
split_cds_regulatory,roulette,17,25570.3125,-9538119849.771372
split_cds_regulatory,roulette,18,26812.5,-11405863669.319792
split_cds_regulatory,roulette,19,27884.765625,-6978213014.348219
split_cds_regulatory,roulette,20,26566.40625,-8765284253.168755
split_cds_regulatory,roulette,21,29654.296875,-5490277323.428837
split_cds_regulatory,roulette,22,27363.28125,-4753995282.406896
split_cds_regulatory,gnomad,1,26578.125,-29756750541.39988
split_cds_regulatory,gnomad,2,26812.5,-33132552151.98256
split_cds_regulatory,gnomad,3,28148.4375,-28283801570.753025
split_cds_regulatory,gnomad,4,29332.03125,-28642634628.848038
split_cds_regulatory,gnomad,5,28019.53125,-25653536985.49472
split_cds_regulatory,gnomad,6,28898.4375,-24911053313.153534
split_cds_regulatory,gnomad,7,28476.5625,-21969307470.34479
split_cds_regulatory,gnomad,8,29625.0,-22205113988.99444
split_cds_regulatory,gnomad,9,29062.5,-16543722647.722317
split_cds_regulatory,gnomad,10,28570.3125,-19334324908.848373
split_cds_regulatory,gnomad,11,28634.765625,-19047744134.846153
split_cds_regulatory,gnomad,12,26953.125,-17895764556.136417
split_cds_regulatory,gnomad,13,28101.5625,-14574500525.024754
split_cds_regulatory,gnomad,14,27316.40625,-12408161679.20881
split_cds_regulatory,gnomad,15,28218.75,-11068452300.148867
split_cds_regulatory,gnomad,16,31042.96875,-11583651210.712484
split_cds_regulatory,gnomad,17,25910.15625,-9558628030.979202
split_cds_regulatory,gnomad,18,28031.25,-11419459092.405525
split_cds_regulatory,gnomad,19,28306.640625,-6998978936.527092
split_cds_regulatory,gnomad,20,27292.96875,-8780773797.096209
split_cds_regulatory,gnomad,21,31221.6796875,-5498663072.142429
split_cds_regulatory,gnomad,22,28136.71875,-4762582711.064005
split_cds_regulatory,carlson,1,20625.0,-27606163730.147617
split_cds_regulatory,carlson,2,20437.5,-30796865059.307808
split_cds_regulatory,carlson,3,21234.375,-26009055864.02787
split_cds_regulatory,carlson,4,21796.875,-26694755351.17146
split_cds_regulatory,carlson,5,21093.75,-23709868920.194397
split_cds_regulatory,carlson,6,21937.5,-22576180631.724396
split_cds_regulatory,carlson,7,21562.5,-19669530123.047768
split_cds_regulatory,carlson,8,21843.75,-19774502144.155445
split_cds_regulatory,carlson,9,21843.75,-14256811644.082607
split_cds_regulatory,carlson,10,22125.0,-17095115868.61167
split_cds_regulatory,carlson,11,22078.125,-17144362752.353308
split_cds_regulatory,carlson,12,20718.75,-15959796303.88063
split_cds_regulatory,carlson,13,20625.0,-12715438206.830807
split_cds_regulatory,carlson,14,20578.125,-10565469906.934855
split_cds_regulatory,carlson,15,21843.75,-9478351312.875755
split_cds_regulatory,carlson,16,24257.8125,-9585596987.242971
split_cds_regulatory,carlson,17,20625.0,-7744671890.592973
split_cds_regulatory,carlson,18,20765.625,-9519987927.22969
split_cds_regulatory,carlson,19,23835.9375,-4772447299.489178
split_cds_regulatory,carlson,20,21234.375,-6964883342.099213
split_cds_regulatory,carlson,21,23882.8125,-3881985544.8266077
split_cds_regulatory,carlson,22,22476.5625,-3147032733.6054173
merged_cds_phastcons,roulette,1,33878.90625,-29663472218.779076
merged_cds_phastcons,roulette,2,32144.53125,-33027009281.90564
merged_cds_phastcons,roulette,3,33779.296875,-28190455428.243248
merged_cds_phastcons,roulette,4,32507.8125,-28560317108.11274
