chrom,mut_model,elem_type,U
3,carlson,cds_lof_d11,0.0005830416444094666
3,carlson,phastcons_0-5,0.07826418635112344
3,carlson,phastcons_5-10,0.06944663804577798
3,carlson,phastcons_10-15,0.05930423850203804
3,carlson,phastcons_15-20,0.05567485958520292
3,carlson,phastcons_20-25,0.054506628389906886
3,carlson,phastcons_25-30,0.055454440512492806
3,carlson,phastcons_30-35,0.05459985040880354
3,carlson,phastcons_35-40,0.058040230022862654
3,carlson,phastcons_40-45,0.05862567791192706
3,carlson,phastcons_45-50,0.05664770546141196
3,carlson,phastcons_50-55,0.06513986676413593
3,carlson,phastcons_55-60,0.05792554140553167
3,gnomad,cds_merged,0.028508035583985618
3,gnomad,promoters,0.026282174774309115
3,gnomad,enhancers,0.1839800189443034
3,gnomad,cds_lof_d1,0.0026324131575
3,gnomad,cds_lof_d2,0.0047624032435
3,gnomad,cds_lof_d3,0.0032857988537500003
3,gnomad,cds_lof_d4,0.0029972887577499998
3,gnomad,cds_lof_d5,0.003144981495559542
3,gnomad,cds_lof_d6,0.0019057381682499998
3,gnomad,cds_lof_d7,0.00215909800225
3,gnomad,cds_lof_d8,0.0019484710384999996
3,gnomad,cds_lof_d9,0.0019968523837500004
3,gnomad,cds_lof_d10,0.0032754659463210085
3,gnomad,cds_lof_d11,0.00055816935825
3,gnomad,phastcons_0-5,0.06112177211802393
3,gnomad,phastcons_5-10,0.05407663272990487
3,gnomad,phastcons_10-15,0.04606753768570246
3,gnomad,phastcons_15-20,0.04319422449150336
3,gnomad,phastcons_20-25,0.04224675809396761
3,gnomad,phastcons_25-30,0.042973465791487434
3,gnomad,phastcons_30-35,0.04228492479092487
3,gnomad,phastcons_35-40,0.04494690513585265
3,gnomad,phastcons_40-45,0.04539838201510416
3,gnomad,phastcons_45-50,0.04387100433291057
3,gnomad,phastcons_50-55,0.05046529698946155
3,gnomad,phastcons_55-60,0.04490554516803038
3,roulette,cds_merged,0.027003747511713055
3,roulette,promoters,0.019276210508142877
3,roulette,enhancers,0.18862209703562455
3,roulette,cds_lof_d1,0.00253086733025
3,roulette,cds_lof_d2,0.00449653104775
3,roulette,cds_lof_d3,0.003127347559
3,roulette,cds_lof_d4,0.0028135113859999996
3,roulette,cds_lof_d5,0.00298423330714804
3,roulette,cds_lof_d6,0.0017196608572500002
